prior_std,recovered_prior_std,likelihood_std,recovered_likelihood_std (with prior),recovered_likelihood_std (without prior),initial_nll (with prior),recovered_nll (with prior),recovered_nll (without prior),AIC (with prior),AIC (without prior),BIC (with prior),BIC (without prior)
1,0.961792021359828,14,140.88959787326291,1.483239696588047,55.2609606302921,55.19841225084288,72.52668853547232,114.39682450168576,147.05337707094463,117.77458340991363,148.74225652505856
9,8.939383149434631,9,7.455617061528938,6.892023428322521,127.32061784747381,126.55564560193001,133.97213554899957,257.11129120386,269.94427109799915,260.4890501120879,271.6331505521131
9,7.191890527711172,8,9.757038751216557,8.72640366973575,129.46220573807622,126.99707571278383,143.4116429150311,257.9941514255677,288.8232858300622,261.37191033379554,290.51216528417615
6,5.758329639126245,11,10.139654221074501,6.56696168008377,121.29684330442313,121.19277335984427,132.03959883521847,246.38554671968853,266.07919767043694,249.7633056279164,267.76807712455087
2,1.6761271644723237,5,4.124588186583012,2.1794494715385744,75.50037327580547,74.36020211665647,87.92043368911791,152.72040423331293,177.84086737823583,156.0981631415408,179.52974683234976
3,3.2172064416624684,12,499.9999999500083,4.538722145333183,104.1022855366218,103.49732775405579,117.26336284409766,210.99465550811158,236.5267256881953,214.37241441633944,238.21560514230924
18,16.49324599087817,6,6.101208830186903,6.238990297641293,126.64231472242332,126.53192480089676,129.99027566708298,257.06384960179355,261.98055133416597,260.4416085100214,263.6694307882799
16,14.099996840940067,13,14.529483488152067,13.336273074259626,150.09517123057591,149.3326645633926,160.24517902990056,302.6653291267852,322.4903580598011,306.04308803501306,324.17923751391504
17,17.80020801039024,9,9.525422413824016,9.155609780800312,142.00346880247096,141.8796753519031,145.33216236817685,287.7593507038062,292.6643247363537,291.13710961203407,294.35320419046764
19,18.755226382464297,6,5.421643085755923,5.406014888831516,123.1400321594794,122.76839262358698,124.25803147534965,249.53678524717395,250.5160629506993,252.9145441554018,252.20494240481324
12,15.276724725574487,17,16.95682267461319,12.577766332643417,155.14173389527343,153.9259690167213,158.0347423197414,311.8519380334426,318.0694846394828,315.22969694167045,319.75836409359675
5,4.879290635259642,13,13.360094960104218,7.183318498434534,117.67083142673289,117.65342676035101,135.62797477795294,239.30685352070202,273.2559495559059,242.68461242892988,274.9448290100198
16,321.4433220350828,1,0.8216222596548363,0.8216195847204392,50.35505359402268,48.896917406456836,48.896820277101625,101.79383481291367,99.79364055420325,105.17159372114155,101.48252000831718
9,9.926192804024224,6,6.034902720444162,5.578977239361389,122.48332477970305,122.36901570531725,125.51776842388608,248.7380314106345,253.03553684777216,252.11579031886237,254.7244163018861
4,3.141308084226281,14,21.633484732606373,5.835237660434486,103.80953835441062,102.12602381121684,127.31414198009735,208.25204762243368,256.6282839601947,211.62980653066154,258.31716341430865
11,11.527294151453118,17,20.744970529684505,13.911350850212271,149.6162959652412,149.16456790545223,162.0656667424435,302.32913581090446,326.131333484887,305.7068947191323,327.82021293900095
8,8.005440301977245,12,12.5348630700563,9.231739207184917,133.13926775612185,133.12042918197827,145.6634376886663,270.24085836395653,293.3268753773326,273.6186172721844,295.01575483144654
2,1.6807924872371913,18,354.46806748516633,3.301514680760669,78.63800035126275,77.52795536526926,104.53279711288893,159.05591073053853,211.06559422577786,162.4336696387664,212.7544736798918
13,12.783151930930723,15,11.999722988603983,10.913294872218552,144.43637318469501,143.5148745624606,152.35681080798952,291.0297491249212,306.71362161597904,294.40750803314904,308.40250107009297
