subjID,oriRef2,prior_std,likelihood_std,likelihood_std_no_prior,nll_prior,nll_no_prior,AIC (with prior),AIC (without prior),BIC (with prior),BIC (without prior)
5,0,974.2696047419699,6.05197455348456,6.05186180422987,128.77301815734376,128.77216267493884,261.5460363146875,259.5443253498777,264.9237952229154,261.2332048039916
5,45,8.715465514775385,10.092855890392453,7.44380239624573,128.9131548615164,133.62651464735075,261.8263097230328,269.2530292947015,265.1534330152921,270.91659094083116
5,90,1060.771366890124,6.3838218722854005,6.38356973019714,130.90758152461,130.90665812193282,265.81516304922,263.81331624386564,269.1929219574479,265.5021956979796
5,135,14.88985966322454,8.700294899595873,7.609035298226449,133.9817833835451,134.48272821729236,271.9635667670902,270.9654564345847,275.29069005934946,272.6290180807144
6,0,182.3085352660506,2.838032323772994,2.837716422493706,93.55376963121333,93.55364416407271,191.10753926242666,189.10728832814542,194.38271158187942,190.7448744878718
6,45,24.267538458255355,6.466028928533286,6.259352820046601,126.79724549881014,126.86759260512092,257.59449099762026,255.73518521024184,260.9216142898796,257.3987468563715
6,90,19.673684719126513,3.5602730500106508,3.507928805687771,96.21911691931982,96.26270216397542,196.43823383863963,194.52540432795084,199.60527171555185,196.10892326640695
6,135,693.0380518190112,5.142039540071466,5.134100309393291,119.13919533492079,119.13887439275065,242.27839066984157,240.2777487855013,245.60551396210087,241.94131043163094
7,0,1282.234369631693,4.780507991293235,4.78047788252536,101.43840463092218,101.43826716674654,206.87680926184436,204.87653433349308,209.9295303110767,206.40289485810925
7,45,12.455218497462017,9.826115942899074,7.970536819488168,117.7091291951455,118.81946072201804,239.418258390291,239.63892144403607,242.47097943952332,241.16528196865224
7,90,729.2741085191885,4.830562704561269,4.830458870651841,116.76222671564344,116.7613203859166,237.52445343128687,235.5226407718332,240.85157672354617,237.18620241796285
7,135,20.91918819997306,7.263604064626408,6.890008690241049,120.41643615865155,120.5643925992389,244.8328723173031,243.1287851984778,247.99991019421532,244.7123041369339
8,0,1139.1588007375576,3.1976679145483518,3.1976556062819026,103.25446651670876,103.2542553667644,210.50893303341752,208.5085107335288,213.88669194164538,210.19739018764272
8,45,1151.6522119145575,9.618732422501905,9.618391345299221,136.2569352086146,136.2567881574672,276.5138704172292,274.5135763149344,279.73570624251767,276.1244942275786
8,90,1375.6142741771662,3.759202884395218,3.758750568095532,106.97814646921705,106.97797947393597,217.9562929384341,215.95595894787195,221.2834162306934,217.61952059400159
8,135,1257.6176882694851,9.467912328449989,9.467661216884386,121.00530007769933,121.00502944558635,246.01060015539866,244.0100588911727,249.00361527833164,245.50656645263916
9,0,899.5256646900342,3.6297678822571187,3.6297380898600484,108.32431792447007,108.32396321673554,220.64863584894013,218.64792643347107,224.026394757168,220.336805887585
9,45,11.630503991672722,7.3828383760106595,6.445376572737206,113.70829784833248,114.8805466027369,231.41659569666496,231.7610932054738,234.52729181964378,233.3164412669632
9,90,490.84348022619054,3.194512192096398,3.1945478738601154,100.63618939396167,100.63496479850654,205.27237878792334,203.2699295970131,208.59950208018265,204.93349124314273
9,135,936.3054256381957,6.567131843702748,6.566962460921714,132.04025705159555,132.03959883521748,268.0805141031911,266.07919767043495,271.45827301141895,267.7680771245489
10,0,1325.4592898525054,8.022574320280608,8.022407330580348,136.54672622141595,136.5458923219126,277.0934524428319,275.0917846438252,280.4205757350912,276.75534628995484
10,45,20.56596014394947,9.93033933849957,9.002776544792805,144.38992311244834,144.65886629182094,292.7798462248967,291.3177325836419,296.15760513312455,293.0066120377558
10,90,897.886645100621,7.421895341190688,7.421518321299473,130.0876496586906,130.08624795345077,264.1752993173812,262.17249590690153,267.450471636834,263.8100820666279
10,135,709.3122909358145,7.60640674452847,7.60591778304472,137.9151531802433,137.91461040098125,279.8303063604866,277.8292208019625,283.20806526871445,279.5181002560764
11,0,1221.3879666535784,8.489586115696472,8.489701693991629,142.31245112768738,142.31168619867856,288.62490225537476,286.6233723973571,292.0026611636026,288.31225185147105
11,45,533.6559777494251,8.989320505271756,8.965211318117014,144.49228546894335,144.4916049793429,292.9845709378867,290.9832099586858,296.36232984611456,292.6720894127997
11,90,1074.4697377903894,5.217959633965976,5.220153729139472,122.85902027571218,122.8586117503723,249.71804055142437,247.7172235007446,253.09579945965223,249.40610295485854
11,135,27.712604116863265,7.7145683907141995,7.444796186107208,136.9892711878208,137.05815643823473,277.9785423756416,276.11631287646946,281.35630128386947,277.8051923305834
12,0,1289.7572925081668,8.279483575018943,8.279222635561437,116.57930669972144,116.5786736667217,237.15861339944288,235.1573473334434,240.15162852237586,236.65385489490987
12,45,1074.098318761115,10.5238263349983,10.523335904097484,101.85875998150578,101.85842970167272,207.71751996301157,205.71685940334544,210.3091936950202,207.01269626934976
12,90,1044.6469237930808,6.384637100173433,6.384166162093634,108.00156793152311,108.0010601501503,220.00313586304623,218.0021203003006,222.9961509859792,219.49862786176706
12,135,2353.5435905712484,13.055517159616658,13.055312600363639,135.59673560424466,135.59654405595157,275.1934712084893,273.19308811190314,278.24619225772165,274.7194486365193
